"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:14 GMT 2023","1154","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [3] Дебетовые карты",""
"broken","Thu May 18 13:46:13 GMT 2023","Thu May 18 13:46:14 GMT 2023","1205","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","35","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"broken","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:13 GMT 2023","1308","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"broken","Thu May 18 13:46:13 GMT 2023","Thu May 18 13:46:14 GMT 2023","1228","","chrome.ChromeTest","","chrome.ChromeTest","smallBusinessTest","Проверка кнопки 'Отправить заявку' в блоках ссылка которых содержит /malomu-biznesu/",""
"broken","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:14 GMT 2023","1143","","chrome.ChromeTest","","chrome.ChromeTest","groupsOfCompaniesTest","Проверка выпадающих элементов в Группах компаний",""
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","46","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [2] 2","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:14 GMT 2023","1133","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки адрес",""
"failed","Thu May 18 13:46:11 GMT 2023","Thu May 18 13:46:12 GMT 2023","1543","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [3] 3","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Thu May 18 13:46:14 GMT 2023","Thu May 18 13:46:15 GMT 2023","1182","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"broken","Thu May 18 13:46:14 GMT 2023","Thu May 18 13:46:15 GMT 2023","1168","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
"broken","Thu May 18 13:46:10 GMT 2023","Thu May 18 13:46:10 GMT 2023","1","","chrome.MobileChromeTest","","chrome.MobileChromeTest","","MobileChromeTest",""
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","65","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [1] 1","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Thu May 18 13:46:13 GMT 2023","Thu May 18 13:46:14 GMT 2023","1249","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","42","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
"failed","Thu May 18 13:46:06 GMT 2023","Thu May 18 13:46:12 GMT 2023","6607","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","38","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","48","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","54","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
"failed","Thu May 18 13:46:12 GMT 2023","Thu May 18 13:46:12 GMT 2023","55","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"broken","Thu May 18 13:46:14 GMT 2023","Thu May 18 13:46:15 GMT 2023","1137","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
