"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","124","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"broken","Fri May 19 15:12:53 GMT 2023","Fri May 19 15:12:54 GMT 2023","1113","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","47","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","48","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","80","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
"failed","Fri May 19 15:12:40 GMT 2023","Fri May 19 15:12:49 GMT 2023","8896","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Fri May 19 15:12:46 GMT 2023","Fri May 19 15:12:47 GMT 2023","1636","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки адрес",""
"broken","Fri May 19 15:12:50 GMT 2023","Fri May 19 15:12:51 GMT 2023","1128","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"broken","Fri May 19 15:12:57 GMT 2023","Fri May 19 15:12:58 GMT 2023","1107","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","37","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"broken","Fri May 19 15:12:54 GMT 2023","Fri May 19 15:12:56 GMT 2023","1113","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","233","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [1] 0","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"broken","Fri May 19 15:12:56 GMT 2023","Fri May 19 15:12:57 GMT 2023","1116","","chrome.ChromeTest","","chrome.ChromeTest","smallBusinessTest","Проверка кнопки 'Отправить заявку' в блоках ссылка которых содержит /malomu-biznesu/",""
"broken","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:50 GMT 2023","1277","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","57","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [3] 1000","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"broken","Fri May 19 15:12:52 GMT 2023","Fri May 19 15:12:53 GMT 2023","1111","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","94","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"broken","Fri May 19 15:12:47 GMT 2023","Fri May 19 15:12:49 GMT 2023","1192","","chrome.ChromeTest","","chrome.ChromeTest","groupsOfCompaniesTest","Проверка выпадающих элементов в Группах компаний",""
"failed","Fri May 19 15:12:49 GMT 2023","Fri May 19 15:12:49 GMT 2023","68","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [2] 4","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"broken","Fri May 19 15:12:45 GMT 2023","Fri May 19 15:12:45 GMT 2023","1","","chrome.MobileChromeTest","","chrome.MobileChromeTest","","MobileChromeTest",""
"broken","Fri May 19 15:12:51 GMT 2023","Fri May 19 15:12:52 GMT 2023","1118","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [3] Дебетовые карты",""
