"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 18 13:56:32 GMT 2023","Thu May 18 13:56:33 GMT 2023","1172","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","69","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [2] 2","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Thu May 18 13:56:31 GMT 2023","Thu May 18 13:56:32 GMT 2023","1221","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"broken","Thu May 18 13:56:32 GMT 2023","Thu May 18 13:56:33 GMT 2023","1150","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
"broken","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:32 GMT 2023","1289","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки адрес",""
"broken","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:32 GMT 2023","1333","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"broken","Thu May 18 13:56:31 GMT 2023","Thu May 18 13:56:32 GMT 2023","1197","","chrome.ChromeTest","","chrome.ChromeTest","smallBusinessTest","Проверка кнопки 'Отправить заявку' в блоках ссылка которых содержит /malomu-biznesu/",""
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","56","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"failed","Thu May 18 13:56:28 GMT 2023","Thu May 18 13:56:30 GMT 2023","1760","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [3] 3","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:32 GMT 2023","1235","","chrome.ChromeTest","","chrome.ChromeTest","groupsOfCompaniesTest","Проверка выпадающих элементов в Группах компаний",""
"broken","Thu May 18 13:56:28 GMT 2023","Thu May 18 13:56:28 GMT 2023","8","","chrome.MobileChromeTest","","chrome.MobileChromeTest","","MobileChromeTest",""
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","85","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"broken","Thu May 18 13:56:31 GMT 2023","Thu May 18 13:56:32 GMT 2023","1172","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [3] Дебетовые карты",""
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","73","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","124","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [1] 1","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","67","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"broken","Thu May 18 13:56:32 GMT 2023","Thu May 18 13:56:33 GMT 2023","1107","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","124","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
"failed","Thu May 18 13:56:24 GMT 2023","Thu May 18 13:56:30 GMT 2023","6355","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"broken","Thu May 18 13:56:31 GMT 2023","Thu May 18 13:56:32 GMT 2023","1206","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"failed","Thu May 18 13:56:30 GMT 2023","Thu May 18 13:56:30 GMT 2023","53","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
