"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 15:42:40 GMT 2023","Thu May 18 15:42:47 GMT 2023","6982","","chrome.MobileChromeTest","","chrome.MobileChromeTest","securityTestTest","Проверка теста 'Обмани мошенника'","Проверка что при прохождении теста 'Обмани мошенника' в разделе Правила безопасности в конце он выдает правильное кол-во правильных ответов Результат 4/4"
"failed","Thu May 18 15:43:18 GMT 2023","Thu May 18 15:44:11 GMT 2023","52655","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"passed","Thu May 18 15:42:56 GMT 2023","Thu May 18 15:43:09 GMT 2023","12877","","chrome.MobileChromeTest","","chrome.MobileChromeTest","citySelection","Проверка отображения нового города при смене [1] Амурск","Проверка что при смене города на главной странице будет отображаться новый город"
"failed","Thu May 18 15:46:11 GMT 2023","Thu May 18 15:46:25 GMT 2023","14611","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
"failed","Thu May 18 15:42:12 GMT 2023","Thu May 18 15:42:20 GMT 2023","7721","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [1] 1","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"passed","Thu May 18 15:45:12 GMT 2023","Thu May 18 15:45:18 GMT 2023","6315","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"failed","Thu May 18 15:42:21 GMT 2023","Thu May 18 15:42:21 GMT 2023","81","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"passed","Thu May 18 15:44:11 GMT 2023","Thu May 18 15:44:19 GMT 2023","7631","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"failed","Thu May 18 15:42:21 GMT 2023","Thu May 18 15:42:21 GMT 2023","81","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
"broken","Thu May 18 15:42:17 GMT 2023","Thu May 18 15:43:09 GMT 2023","51365","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки адрес",""
"failed","Thu May 18 15:42:20 GMT 2023","Thu May 18 15:42:20 GMT 2023","203","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [2] 2","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"failed","Thu May 18 15:42:21 GMT 2023","Thu May 18 15:42:21 GMT 2023","121","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"passed","Thu May 18 15:43:09 GMT 2023","Thu May 18 15:43:22 GMT 2023","13690","","chrome.MobileChromeTest","","chrome.MobileChromeTest","citySelection","Проверка отображения нового города при смене [2] Ванино","Проверка что при смене города на главной странице будет отображаться новый город"
"failed","Thu May 18 15:42:20 GMT 2023","Thu May 18 15:42:21 GMT 2023","93","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
"failed","Thu May 18 15:42:21 GMT 2023","Thu May 18 15:42:21 GMT 2023","96","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
"passed","Thu May 18 15:42:47 GMT 2023","Thu May 18 15:42:56 GMT 2023","9121","","chrome.MobileChromeTest","","chrome.MobileChromeTest","ipotekaValue","Проверка процентной ставки по умолчанию в Ипотеке для IT","Проверка что в разделе Ипотека/Программы/Ипотека для ИТ в калькуляторе по умолчанию отображается ставка 5%"
"failed","Thu May 18 15:46:39 GMT 2023","Thu May 18 15:46:51 GMT 2023","12298","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"failed","Thu May 18 15:42:21 GMT 2023","Thu May 18 15:42:21 GMT 2023","126","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"passed","Thu May 18 15:42:17 GMT 2023","Thu May 18 15:42:34 GMT 2023","16416","","chrome.MobileChromeTest","","chrome.MobileChromeTest","downloadPDF","Проверка скачивания файла Инструкция.PDF","Проверка что в разделе Ипотека во вкладке Погашение кредита в блоке Выберете способы погашения файл Инструкция.PDF скачивается, в данном случае build/downloads "
"failed","Thu May 18 15:42:21 GMT 2023","Thu May 18 15:42:21 GMT 2023","69","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"failed","Thu May 18 15:45:18 GMT 2023","Thu May 18 15:46:11 GMT 2023","52589","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
