"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 18 15:11:51 GMT 2023","Thu May 18 15:13:45 GMT 2023","113538","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки адрес",""
"failed","Thu May 18 15:11:54 GMT 2023","Thu May 18 15:11:54 GMT 2023","32","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
"failed","Thu May 18 15:11:54 GMT 2023","Thu May 18 15:11:54 GMT 2023","94","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
"failed","Thu May 18 15:19:53 GMT 2023","Thu May 18 15:20:06 GMT 2023","13080","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"failed","Thu May 18 15:19:39 GMT 2023","Thu May 18 15:19:53 GMT 2023","13355","","chrome.ChromeTest","","chrome.ChromeTest","smallBusinessTest","Проверка кнопки 'Отправить заявку' в блоках ссылка которых содержит /malomu-biznesu/",""
"failed","Thu May 18 15:11:45 GMT 2023","Thu May 18 15:11:53 GMT 2023","7560","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [1] 1","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"passed","Thu May 18 15:17:33 GMT 2023","Thu May 18 15:17:42 GMT 2023","8678","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"failed","Thu May 18 15:11:53 GMT 2023","Thu May 18 15:11:54 GMT 2023","83","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"failed","Thu May 18 15:11:53 GMT 2023","Thu May 18 15:11:53 GMT 2023","139","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"failed","Thu May 18 15:17:42 GMT 2023","Thu May 18 15:19:24 GMT 2023","102911","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
"failed","Thu May 18 15:19:24 GMT 2023","Thu May 18 15:19:39 GMT 2023","14872","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
"failed","Thu May 18 15:11:54 GMT 2023","Thu May 18 15:11:54 GMT 2023","30","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"passed","Thu May 18 15:13:45 GMT 2023","Thu May 18 15:13:57 GMT 2023","11578","","chrome.ChromeTest","","chrome.ChromeTest","groupsOfCompaniesTest","Проверка выпадающих элементов в Группах компаний",""
"broken","Thu May 18 15:11:53 GMT 2023","Thu May 18 15:11:53 GMT 2023","0","","chrome.MobileChromeTest","","chrome.MobileChromeTest","","MobileChromeTest",""
"failed","Thu May 18 15:13:57 GMT 2023","Thu May 18 15:15:40 GMT 2023","103523","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"failed","Thu May 18 15:11:53 GMT 2023","Thu May 18 15:11:53 GMT 2023","164","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [2] 2","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"failed","Thu May 18 15:11:54 GMT 2023","Thu May 18 15:11:54 GMT 2023","78","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"failed","Thu May 18 15:11:53 GMT 2023","Thu May 18 15:11:53 GMT 2023","68","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
"failed","Thu May 18 15:11:53 GMT 2023","Thu May 18 15:11:53 GMT 2023","104","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [3] 3","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"passed","Thu May 18 15:15:40 GMT 2023","Thu May 18 15:15:50 GMT 2023","9755","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"failed","Thu May 18 15:15:50 GMT 2023","Thu May 18 15:17:33 GMT 2023","102989","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [3] Дебетовые карты",""
