"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","98","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [1] 0","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"broken","Tue May 23 14:30:17 GMT 2023","Tue May 23 14:30:18 GMT 2023","1119","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"broken","Tue May 23 14:30:12 GMT 2023","Tue May 23 14:30:12 GMT 2023","1","","chrome.MobileChromeTest","","chrome.MobileChromeTest","","MobileChromeTest",""
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","44","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","57","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [2] 4","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"broken","Tue May 23 14:30:18 GMT 2023","Tue May 23 14:30:19 GMT 2023","1115","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [3] Дебетовые карты",""
"broken","Tue May 23 14:30:20 GMT 2023","Tue May 23 14:30:22 GMT 2023","1111","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
"broken","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:17 GMT 2023","1304","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","86","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","58","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","55","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","63","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","38","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [3] 1000","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"failed","Tue May 23 14:30:16 GMT 2023","Tue May 23 14:30:16 GMT 2023","53","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
"broken","Tue May 23 14:30:19 GMT 2023","Tue May 23 14:30:20 GMT 2023","1115","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"broken","Tue May 23 14:30:24 GMT 2023","Tue May 23 14:30:25 GMT 2023","1110","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"broken","Tue May 23 14:30:23 GMT 2023","Tue May 23 14:30:24 GMT 2023","1171","","chrome.ChromeTest","","chrome.ChromeTest","smallBusinessTest","Проверка наличия кнопки 'Отправить заявку' в блоках ссылка которых содержит /malomu-biznesu/",""
"broken","Tue May 23 14:30:22 GMT 2023","Tue May 23 14:30:23 GMT 2023","1173","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
"broken","Tue May 23 14:30:13 GMT 2023","Tue May 23 14:30:14 GMT 2023","1506","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки Адреса",""
"failed","Tue May 23 14:30:07 GMT 2023","Tue May 23 14:30:16 GMT 2023","9279","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Tue May 23 14:30:14 GMT 2023","Tue May 23 14:30:16 GMT 2023","1260","","chrome.ChromeTest","","chrome.ChromeTest","groupsOfCompaniesTest","Проверка выпадающих элементов в 'Группах компаний'",""
