"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 18 14:55:03 GMT 2023","Thu May 18 14:55:04 GMT 2023","1112","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","24","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","54","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"broken","Thu May 18 14:54:53 GMT 2023","Thu May 18 14:54:57 GMT 2023","3498","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки адрес",""
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","26","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"broken","Thu May 18 14:55:04 GMT 2023","Thu May 18 14:55:05 GMT 2023","1108","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
"broken","Thu May 18 14:54:58 GMT 2023","Thu May 18 14:54:59 GMT 2023","1171","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","34","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [2] 2","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","61","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [3] 3","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","34","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
"broken","Thu May 18 14:54:59 GMT 2023","Thu May 18 14:55:00 GMT 2023","1113","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"broken","Thu May 18 14:55:01 GMT 2023","Thu May 18 14:55:03 GMT 2023","1112","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"broken","Thu May 18 14:55:05 GMT 2023","Thu May 18 14:55:06 GMT 2023","1108","","chrome.ChromeTest","","chrome.ChromeTest","smallBusinessTest","Проверка кнопки 'Отправить заявку' в блоках ссылка которых содержит /malomu-biznesu/",""
"broken","Thu May 18 14:55:06 GMT 2023","Thu May 18 14:55:07 GMT 2023","1108","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"broken","Thu May 18 14:54:56 GMT 2023","Thu May 18 14:54:56 GMT 2023","1","","chrome.MobileChromeTest","","chrome.MobileChromeTest","","MobileChromeTest",""
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","55","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"broken","Thu May 18 14:55:00 GMT 2023","Thu May 18 14:55:01 GMT 2023","1107","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [3] Дебетовые карты",""
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","34","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
"failed","Thu May 18 14:54:47 GMT 2023","Thu May 18 14:54:54 GMT 2023","7079","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит [1] 1","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Thu May 18 14:54:57 GMT 2023","Thu May 18 14:54:58 GMT 2023","1108","","chrome.ChromeTest","","chrome.ChromeTest","groupsOfCompaniesTest","Проверка выпадающих элементов в Группах компаний",""
"failed","Thu May 18 14:54:54 GMT 2023","Thu May 18 14:54:54 GMT 2023","49","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
